CustomerID,min_recency,max_recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,Segmented
12346,325.0,325.0,1,0.0,4,4,4,444,Lost Cheap Customer
12347,2.0,367.0,7,4310.0,1,1,1,111,Best Customer
12348,75.0,358.0,4,1437.24,3,2,2,322,Potential Customer
12349,18.0,18.0,1,1457.55,2,4,2,242,Need More Treatment
12350,310.0,310.0,1,294.40000000000003,4,4,4,444,Lost Cheap Customer
12352,36.0,296.0,7,1285.21,2,1,2,212,Potential Customer
12353,204.0,204.0,1,89.0,4,4,4,444,Lost Cheap Customer
12354,232.0,232.0,1,1079.4,4,4,2,442,Need More Treatment
12355,214.0,214.0,1,459.4,4,4,3,443,Need More Treatment
12356,22.0,325.0,3,2487.4300000000003,2,2,1,221,Potential Big Spender
12357,33.0,33.0,1,6207.669999999996,2,4,1,241,Need More Treatment
12358,1.0,150.0,2,928.06,1,3,2,132,Need More Treatment
12359,57.0,331.0,4,6151.330000000002,3,2,1,321,Potential Big Spender
12360,52.0,200.0,3,2302.06,3,2,1,321,Potential Big Spender
12361,287.0,287.0,1,174.89999999999998,4,4,4,444,Lost Cheap Customer
12362,3.0,295.0,10,4667.530000000001,1,1,1,111,Best Customer
12363,109.0,242.0,2,552.0,3,3,3,333,Need More Treatment
12364,7.0,112.0,4,1208.1,1,2,2,122,Potential Customer
12365,291.0,291.0,1,320.69,4,4,3,443,Need More Treatment
12367,4.0,4.0,1,150.9,1,4,4,144,Need More Treatment
12370,51.0,360.0,4,3421.9400000000005,3,2,1,321,Potential Big Spender
12371,59.0,59.0,1,1527.9600000000003,3,4,2,342,Need More Treatment
12372,71.0,296.0,3,1196.04,3,2,2,322,Potential Customer
12373,311.0,311.0,1,324.6,4,4,3,443,Need More Treatment
12374,25.0,25.0,1,622.93,2,4,3,243,Need More Treatment
12375,10.0,98.0,2,375.4200000000001,1,3,3,133,Need More Treatment
12377,315.0,354.0,2,1548.1199999999997,4,3,2,432,Need More Treatment
12378,129.0,129.0,1,4008.6200000000013,3,4,1,341,Need More Treatment
12379,81.0,170.0,2,775.29,3,3,2,332,Need More Treatment
12380,21.0,185.0,4,2423.56,2,2,1,221,Potential Big Spender
12381,4.0,119.0,3,1433.4599999999998,1,2,2,122,Potential Customer
12383,184.0,352.0,5,1617.31,4,2,1,421,Potential Big Spender
12384,28.0,121.0,2,406.15999999999997,2,3,3,233,Need More Treatment
12386,337.0,366.0,2,401.90000000000003,4,3,3,433,Need More Treatment
12388,15.0,326.0,6,2780.6600000000003,1,1,1,111,Best Customer
12390,79.0,79.0,1,504.84,3,4,3,343,Need More Treatment
12391,21.0,21.0,1,439.65999999999997,2,4,3,243,Need More Treatment
12393,72.0,332.0,4,1582.6000000000001,3,2,2,322,Potential Customer
12394,63.0,217.0,2,1080.48,3,3,2,332,Need More Treatment
12395,19.0,371.0,12,2664.83,2,1,1,211,Potential Big Spender
12397,35.0,135.0,2,2214.8999999999996,2,3,1,231,Potential Big Spender
12398,45.0,45.0,1,1435.6599999999999,2,4,2,242,Need More Treatment
12399,119.0,261.0,4,1033.65,3,2,2,322,Potential Customer
12401,303.0,303.0,1,69.3,4,4,4,444,Lost Cheap Customer
12402,323.0,323.0,1,195.6,4,4,4,444,Lost Cheap Customer
12403,49.0,49.0,1,391.7,2,4,3,243,Need More Treatment
12405,148.0,148.0,1,1390.3900000000006,4,4,2,442,Need More Treatment
12406,22.0,183.0,2,3280.7500000000005,2,3,1,231,Potential Big Spender
12407,49.0,264.0,5,1507.12,2,2,2,222,Normal Customer
12408,32.0,260.0,5,2587.7000000000003,2,2,1,221,Potential Big Spender
12409,78.0,182.0,3,11061.880000000001,3,2,1,321,Potential Big Spender
12410,308.0,308.0,2,521.0799999999999,4,3,3,433,Need More Treatment
12412,74.0,169.0,3,1142.88,3,2,2,322,Potential Customer
12413,66.0,337.0,3,676.1500000000001,3,2,2,322,Potential Customer
12414,217.0,310.0,3,442.41,4,2,3,423,Potential Customer
12415,24.0,337.0,20,123904.33000000002,2,1,1,211,Potential Big Spender
12417,3.0,357.0,9,3155.8,1,1,1,111,Best Customer
12418,112.0,112.0,1,668.5799999999997,3,4,2,342,Need More Treatment
12420,63.0,63.0,1,600.3900000000001,3,4,3,343,Need More Treatment
12421,15.0,319.0,4,639.0400000000001,1,2,3,123,Potential Customer
12422,95.0,324.0,3,683.56,3,2,2,322,Potential Customer
12423,0.0,353.0,8,1624.1100000000001,1,1,1,111,Best Customer
12424,162.0,162.0,2,1760.9600000000003,4,3,1,431,Potential Big Spender
12425,78.0,78.0,1,777.1999999999999,3,4,2,342,Need More Treatment
12426,194.0,194.0,1,510.7299999999999,4,4,3,443,Need More Treatment
12427,21.0,371.0,3,582.37,2,2,3,223,Potential Customer
12428,25.0,283.0,8,6371.729999999999,2,1,1,211,Potential Big Spender
12429,9.0,365.0,4,3388.4,1,2,1,121,Potential Big Spender
12430,43.0,43.0,1,216.4,2,4,4,244,Need More Treatment
12431,35.0,373.0,15,6287.15,2,1,1,211,Potential Big Spender
